day,time,room,lesson,lesson-format
Пн,"11:40-13:10
четная неделя","369а ауд.
Кронверкский пр., д.49, лит.А","Дискретная математика(Прак)
четная неделя
Поляков Владимир Иванович",Очно - дистанционный
,"13:30-15:00
четная неделя","369а ауд.
Кронверкский пр., д.49, лит.А","Дискретная математика(Прак)
четная неделя
Поляков Владимир Иванович",Очно - дистанционный
